family,subfamily,outcome,n_treat,n_ctrl,baseline_rate_or_mean,expected_treat_rate_or_mean,mde_specified,mde_units,alpha,alpha_basis,two_sided,design_effect,rho_assumed,achieved_power_pre,achieved_power_post,achieved_power_uncorrected,target_power,power_status,phase,decision_locked_at_run_id,notes,realized_or_or_irr,realized_p_raw,realized_p_adj,se_log_realized
rq2_sast,rq2_within_category,configured,2803,1744,0.063647,0.092526,1.5,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.9434,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,,,,
rq2_sca,rq2_within_category,configured,2803,1744,0.137041,0.181887,1.4,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.9806,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,,,,
rq2_secrets,rq2_within_category,configured,2803,1744,0.005161,0.009251,1.8,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.3604,,,0.8,UNDERPOWERED,pre-flight,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,,,,
rq2_fuzzing,rq2_within_category,configured,2803,1744,0.00172,0.003434,2.0,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.2028,,,0.8,UNDERPOWERED,pre-flight,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,,,,
rq2_ci_hardening,rq2_within_category,configured,2803,1744,0.012615,0.024915,2.0,OR,0.05,"BH within category (m=1, alpha=0.05)",True,1.0,,0.854,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,two-proportion approximation; n_AI vs n_ctrl repos; baseline = Phase C control-arm category rate,,,,
rq2_per_tool,popular_tool_standin_ctrl_5pct,tool_configured,2803,1744,0.05,0.073171,1.5,OR,0.0026315789473684,"BH across 19 tools, Bonferroni-equiv worst case (alpha/19)",True,1.0,,0.566,,0.8876,0.8,UNDERPOWERED,pre-flight,2026-04-26T18:57:09Z,stand-in baseline since per-tool Phase C rates not yet tabulated; worst-case BH bound shown alongside uncorrected,,,,
rq2_per_tool,popular_tool_standin_ctrl_5pct,tool_configured,2803,1744,0.05,0.095238,2.0,OR,0.0026315789473684,"BH across 19 tools, Bonferroni-equiv worst case (alpha/19)",True,1.0,,0.9973,,0.9999,0.8,OK,pre-flight,2026-04-26T18:57:09Z,stand-in baseline since per-tool Phase C rates not yet tabulated; worst-case BH bound shown alongside uncorrected,,,,
rq2_per_tool,popular_tool_standin_ctrl_5pct,tool_configured,2803,1744,0.05,0.136364,3.0,OR,0.0026315789473684,"BH across 19 tools, Bonferroni-equiv worst case (alpha/19)",True,1.0,,1.0,,1.0,0.8,OK,pre-flight,2026-04-26T18:57:09Z,stand-in baseline since per-tool Phase C rates not yet tabulated; worst-case BH bound shown alongside uncorrected,,,,
rq2_per_tool,sparse_tool_standin_ctrl_0p5pct,tool_configured,2803,1744,0.005,0.007481,1.5,OR,0.0026315789473684,"BH across 19 tools, Bonferroni-equiv worst case (alpha/19)",True,1.0,,0.0245,,0.1797,0.8,UNDERPOWERED,pre-flight,2026-04-26T18:57:09Z,stand-in baseline since per-tool Phase C rates not yet tabulated; worst-case BH bound shown alongside uncorrected,,,,
rq2_per_tool,sparse_tool_standin_ctrl_0p5pct,tool_configured,2803,1744,0.005,0.00995,2.0,OR,0.0026315789473684,"BH across 19 tools, Bonferroni-equiv worst case (alpha/19)",True,1.0,,0.1365,,0.4807,0.8,UNDERPOWERED,pre-flight,2026-04-26T18:57:09Z,stand-in baseline since per-tool Phase C rates not yet tabulated; worst-case BH bound shown alongside uncorrected,,,,
rq2_per_tool,sparse_tool_standin_ctrl_0p5pct,tool_configured,2803,1744,0.005,0.014851,3.0,OR,0.0026315789473684,"BH across 19 tools, Bonferroni-equiv worst case (alpha/19)",True,1.0,,0.6417,,0.9208,0.8,UNDERPOWERED,pre-flight,2026-04-26T18:57:09Z,stand-in baseline since per-tool Phase C rates not yet tabulated; worst-case BH bound shown alongside uncorrected,,,,
rq3_any_intervention,rho_0.01,any_security_intervention,9110,4139,0.048079,0.070426,1.5,OR,0.05,"RQ3 family, no multiple-test penalty across binary outcomes (2 tests; BH bound at alpha/2 reported in notes)",True,1.215,0.01,0.9959,,,0.8,OK,pre-flight,2026-04-26T18:57:09Z,"FE cohort: 588 repos, 13249 PRs after singleton-repo drop. m_bar=22.53. Baseline = human-arm rate in FE cohort. Worst-case BH-adj across 2 RQ3 binary outcomes: alpha=0.0250.",,,,
