language,n_ai_repos,any_tool_pct,sast_pct,sca_pct,secrets_pct,fuzzing_pct,ci_hardening_pct
TypeScript,647,39.258,16.074,32.921,0.618,0.0,1.7
Python,529,39.319,16.635,33.081,1.89,0.0,2.647
Go,242,60.744,30.165,56.612,1.24,0.413,7.851
C#,220,48.182,23.182,39.545,0.0,0.0,5.0
JavaScript,190,25.789,9.474,21.579,1.579,0.0,1.579
Rust,159,49.057,10.692,46.541,0.629,1.258,6.289
C++,119,37.815,21.008,33.613,0.0,2.521,4.202
Java,86,50.0,30.233,43.023,2.326,0.0,2.326
PHP,69,31.884,10.145,28.986,1.449,0.0,1.449
C,61,37.705,31.148,24.59,0.0,8.197,9.836
