tool,n_ai_repos,n_configured,adoption_rate,adoption_pct
dependabot,2803,833,0.297182,29.718
codeql,2803,468,0.166964,16.696
renovate,2803,149,0.053157,5.316
ossf_scorecard,2803,81,0.028898,2.89
harden_runner,2803,47,0.016768,1.677
trivy,2803,46,0.016411,1.641
sonarqube,2803,22,0.007849,0.785
anchore,2803,19,0.006778,0.678
snyk,2803,19,0.006778,0.678
gitleaks,2803,17,0.006065,0.606
oss_fuzz,2803,11,0.003924,0.392
govulncheck,2803,11,0.003924,0.392
microsoft_security_devops,2803,10,0.003568,0.357
trufflehog,2803,10,0.003568,0.357
semgrep,2803,4,0.001427,0.143
claude_code_security_review,2803,2,0.000714,0.071
bandit,2803,2,0.000714,0.071
checkov,2803,1,0.000357,0.036
tfsec,2803,1,0.000357,0.036
