breakdown,level,n_ai_repos,n_configured,adoption_pct
tool,dependabot,2803,833.0,29.718
tool,codeql,2803,468.0,16.696
tool,renovate,2803,149.0,5.316
tool,ossf_scorecard,2803,81.0,2.89
tool,harden_runner,2803,47.0,1.677
tool,trivy,2803,46.0,1.641
tool,sonarqube,2803,22.0,0.785
tool,anchore,2803,19.0,0.678
tool,snyk,2803,19.0,0.678
tool,gitleaks,2803,17.0,0.606
tool,oss_fuzz,2803,11.0,0.392
tool,govulncheck,2803,11.0,0.392
tool,microsoft_security_devops,2803,10.0,0.357
tool,trufflehog,2803,10.0,0.357
tool,semgrep,2803,4.0,0.143
tool,claude_code_security_review,2803,2.0,0.071
tool,bandit,2803,2.0,0.071
tool,checkov,2803,1.0,0.036
tool,tfsec,2803,1.0,0.036
category,sca,2803,976.0,34.82
category,sast,2803,490.0,17.481
category,ci_hardening,2803,99.0,3.532
category,secrets,2803,27.0,0.963
category,fuzzing,2803,11.0,0.392
language,TypeScript,647,,39.258
language,Python,529,,39.319
language,Go,242,,60.744
language,C#,220,,48.182
language,JavaScript,190,,25.789
language,Rust,159,,49.057
language,C++,119,,37.815
language,Java,86,,50.0
language,PHP,69,,31.884
language,C,61,,37.705
stars_bin,100-199,641,,31.669
stars_bin,200-499,685,,34.161
stars_bin,500-999,408,,39.706
stars_bin,1000+,1069,,49.766
