family,level,n_AI,n_ctrl,ai_rate,ctrl_rate,OR,OR_lo,OR_hi,OR_fisher,p_raw,p_adj,bh_family_member,adj_OR,adj_OR_lo,adj_OR_hi,adj_p,adj_cov_type,adj_n_clusters,smd_summary,underpowered_flag
category,sast,2803,1744,0.174813,0.063647,3.1166,2.5123,3.8663,3.1166,2.7686213925104137e-29,6.921553481276034e-29,True,0.4579,0.3529,0.5943,4.25650700339839e-09,cluster,3750,0.3482,False
category,sca,2803,1744,0.348198,0.137041,3.364,2.875,3.936,3.364,1.253259943463684e-58,6.26629971731842e-58,True,0.4293,0.3603,0.5115,3.06125065577342e-21,cluster,3750,0.5082,False
category,secrets,2803,1744,0.009633,0.005161,1.875,0.8797,3.9963,1.875,0.12107116596598616,0.1513389574574827,True,0.8048,,,,cluster,3750,0.0522,True
category,fuzzing,2803,1744,0.003924,0.00172,2.2864,0.637,8.207,2.2864,0.2728074834823988,0.2728074834823988,True,0.7331,,,,cluster,3750,0.0416,True
category,ci_hardening,2803,1744,0.035319,0.012615,2.8658,1.7985,4.5664,2.8658,1.5663976730241344e-06,2.6106627883735576e-06,True,0.4988,0.311,0.8,0.003901947578497247,cluster,3750,0.1489,False
tool,anchore,2803,1744,0.006778,0.00344,1.9769,0.788,4.9596,1.9769,,,False,0.6082,0.2262,1.635,0.3243517563627435,cluster,3750,0.0468,False
tool,bandit,2803,1744,0.000714,0.001147,0.6219,0.0875,4.4191,0.6219,,,False,2.4517,,,,cluster,3750,-0.0142,False
tool,checkov,2803,1744,0.000357,0.00172,0.2071,0.0215,1.9927,0.2071,,,False,7.1947,,,,cluster,3750,-0.0423,False
tool,claude_code_security_review,2803,1744,0.000714,0.0,3.1135,0.1494,64.8906,,,,False,0.0,,,,cluster,3750,0.0378,False
tool,codeql,2803,1744,0.166964,0.060206,3.1286,2.5086,3.9018,3.1286,3.5878275264788044e-28,7.175655052957609e-28,True,0.4562,0.3486,0.5971,1.1024560380645018e-08,cluster,3750,0.3413,False
tool,dependabot,2803,1744,0.297182,0.119266,3.1225,2.6451,3.6861,3.1225,1.0224294847347173e-46,4.089717938938869e-46,True,0.4635,0.3828,0.5613,3.3879968595449823e-15,cluster,3750,0.4491,False
tool,gitleaks,2803,1744,0.006065,0.001147,5.3148,1.2264,23.0318,5.3148,,,False,0.2731,,,,cluster,3750,0.0821,False
tool,govulncheck,2803,1744,0.003924,0.00172,2.2864,0.637,8.207,2.2864,,,False,0.5246,,,,cluster,3750,0.0416,False
tool,harden_runner,2803,1744,0.016768,0.005161,3.2876,1.6072,6.7249,3.2876,,,False,0.4231,,,,cluster,3750,0.1116,False
tool,microsoft_security_devops,2803,1744,0.003568,0.000573,6.2406,0.7982,48.7924,6.2406,,,False,0.2297,,,,cluster,3750,0.0659,False
tool,oss_fuzz,2803,1744,0.003924,0.00172,2.2864,0.637,8.207,2.2864,,,False,0.7331,,,,cluster,3750,0.0416,False
tool,ossf_scorecard,2803,1744,0.028898,0.011468,2.5651,1.5666,4.2,2.5651,7.018494098695698e-05,7.018494098695698e-05,True,0.57,0.3446,0.9429,0.028591423485882173,cluster,3750,0.1242,False
tool,renovate,2803,1744,0.053157,0.014335,3.8603,2.5164,5.922,3.8603,2.5774702336661048e-12,3.436626978221473e-12,True,0.3751,0.2422,0.5809,1.1188588456488531e-05,cluster,3750,0.2162,False
tool,semgrep,2803,1744,0.001427,0.0,5.6083,0.3018,104.2305,,,,False,0.0,,,,cluster,3750,0.0535,False
tool,snyk,2803,1744,0.006778,0.0,24.4337,1.4743,404.9315,,,,False,0.0,,,,cluster,3750,0.1168,False
tool,sonarqube,2803,1744,0.007849,0.002867,2.7514,1.04,7.2789,2.7514,,,False,0.5098,,,,cluster,3750,0.0683,False
tool,tfsec,2803,1744,0.000357,0.000573,0.6221,0.0389,9.9515,0.6221,,,False,1.1347,,,,cluster,3750,-0.01,False
tool,trivy,2803,1744,0.016411,0.004587,3.6206,1.7048,7.6893,3.6206,,,False,0.4005,,,,cluster,3750,0.1162,False
tool,trufflehog,2803,1744,0.003568,0.004014,0.8884,0.3376,2.3384,0.8884,,,False,1.7541,,,,cluster,3750,-0.0073,False
