level,n_AI,n_ctrl,ai_rate,ctrl_rate,OR,OR_lo,OR_hi,p_raw,p_adj,bh_family_member
checkov,2803,1744,0.000357,0.00172,0.2071,0.0215,1.9927,,,False
bandit,2803,1744,0.000714,0.001147,0.6219,0.0875,4.4191,,,False
tfsec,2803,1744,0.000357,0.000573,0.6221,0.0389,9.9515,,,False
trufflehog,2803,1744,0.003568,0.004014,0.8884,0.3376,2.3384,,,False
anchore,2803,1744,0.006778,0.00344,1.9769,0.788,4.9596,,,False
govulncheck,2803,1744,0.003924,0.00172,2.2864,0.637,8.207,,,False
oss_fuzz,2803,1744,0.003924,0.00172,2.2864,0.637,8.207,,,False
ossf_scorecard,2803,1744,0.028898,0.011468,2.5651,1.5666,4.2,7.018494098695698e-05,7.018494098695698e-05,True
sonarqube,2803,1744,0.007849,0.002867,2.7514,1.04,7.2789,,,False
claude_code_security_review,2803,1744,0.000714,0.0,3.1135,0.1494,64.8906,,,False
dependabot,2803,1744,0.297182,0.119266,3.1225,2.6451,3.6861,1.022429484734717e-46,4.089717938938869e-46,True
codeql,2803,1744,0.166964,0.060206,3.1286,2.5086,3.9018,3.587827526478804e-28,7.175655052957609e-28,True
harden_runner,2803,1744,0.016768,0.005161,3.2876,1.6072,6.7249,,,False
trivy,2803,1744,0.016411,0.004587,3.6206,1.7048,7.6893,,,False
renovate,2803,1744,0.053157,0.014335,3.8603,2.5164,5.922,2.5774702336661048e-12,3.436626978221473e-12,True
gitleaks,2803,1744,0.006065,0.001147,5.3148,1.2264,23.0318,,,False
semgrep,2803,1744,0.001427,0.0,5.6083,0.3018,104.2305,,,False
microsoft_security_devops,2803,1744,0.003568,0.000573,6.2406,0.7982,48.7924,,,False
snyk,2803,1744,0.006778,0.0,24.4337,1.4743,404.9315,,,False
