repo_full_name,agentic_intervention_rate,human_intervention_rate,n_agentic_prs,n_human_prs
0x4D31/galah,0.0,0.0,16,1
567-labs/instructor,0.09803921568627451,0.0,51,9
ACEsuit/mace,0.0,0.0,1,1
AFASSoftware/maquette,0.0,0.0,1,1
AgentDock/AgentDock,0.3333333333333333,0.0,3,1
AgentOps-AI/agentops,0.0,0.0,49,31
AmoyLab/Unla,0.0,0.0,2,1
ArthurSonzogni/FTXUI,0.0,0.0,7,6
Azure-Samples/serverless-chat-langchainjs,0.0,0.0,4,2
Azure/autorest,0.0,0.0,2,1
Azure/azure-cosmos-dotnet-v3,0.0,0.0,4,2
Azure/azure-functions-core-tools,0.0,0.0,8,5
Azure/azure-functions-host,0.0,0.0,2,1
Azure/azure-mcp,0.041666666666666664,0.0,24,6
Azure/azure-rest-api-specs,0.0,0.0,27,8
Azure/azure-sdk,0.0,0.0,1,1
Azure/azure-sdk-for-go,0.0,0.0,25,13
Azure/azure-sdk-for-java,0.06666666666666667,0.0,15,6
Azure/azure-sdk-for-js,0.0,0.0,45,35
Azure/azure-sdk-for-net,0.08108108108108109,0.0,37,18
Azure/azure-sdk-for-python,0.0,0.034482758620689655,57,29
Azure/azure-sdk-for-rust,0.0,0.25,6,4
Azure/azure-storage-azcopy,0.0,0.0,10,7
Azure/azure-storage-fuse,0.0,0.0,5,2
Azure/data-api-builder,0.2,0.0,5,2
BOINC/boinc,0.0,0.0,4,3
BasedHardware/omi,0.0,0.0,6,2
BeehiveInnovations/zen-mcp-server,0.0,0.0,4,1
BerriAI/litellm,0.0,0.0,13,7
Blaizzy/mlx-audio,0.0,0.0,1,1
Blaizzy/mlx-vlm,0.0,0.0,9,5
BoundaryML/baml,0.0,0.0,5,4
CapSoftware/Cap,0.0,0.0,27,17
Codehagen/Badget,0.0,0.0,9,1
ComposioHQ/composio,0.11764705882352941,0.0,17,13
DataDog/dd-trace-go,0.0,0.0,2,1
DataDog/dd-trace-java,0.0,0.0,2,1
DaveSkender/Stock.Indicators,0.13333333333333333,0.14285714285714285,15,7
DistroAV/DistroAV,0.0,0.0,3,1
Doriandarko/deepseek-engineer,0.0,0.0,1,1
EasyCorp/EasyAdminBundle,0.0,0.0,3,1
EdgeTranslate/EdgeTranslate,0.0,0.0,2,1
Edgenesis/shifu,0.0,0.0,5,2
EduardoPires/EquinoxProject,0.0,0.0,4,3
EricLBuehler/mistral.rs,0.11538461538461539,0.05263157894736842,26,19
FarmBot/Farmbot-Web-App,0.0,0.0,3,2
FastLED/FastLED,0.0,0.0,5,1
Felix3322/PotPlayer_ChatGPT_Translate,0.0,0.0,5,1
FidelusAleksander/ghcertified,0.0,0.0,4,2
FlowiseAI/Flowise,0.0,0.0,4,1
FluidGroup/Brightroom,0.0,0.0,1,1
Giorgi/DuckDB.NET,0.0,0.0,2,1
GitbookIO/gitbook,0.0,0.0,3,1
GlareDB/glaredb,0.0,0.0,97,64
Helicone/helicone,0.0,0.0,7,4
HotCakeX/Harden-Windows-Security,0.0,1.0,4,1
HumanSignal/label-studio,0.0,0.0,4,1
Humanizr/Humanizer,0.0,0.0,1,1
JMBeresford/retrom,0.25,0.0,4,1
JacobLinCool/LeetCode-Stats-Card,0.0,0.0,2,1
JessicaTegner/pypandoc,0.0,0.0,1,1
JhumanJ/OpnForm,0.0,0.0,2,1
JonasKruckenberg/k23,0.0,0.0,1,1
JuliaLang/julia,0.0,0.0,5,3
Kanaries/graphic-walker,0.0,0.0,18,11
Kanaries/pygwalker,0.0,0.0,3,2
Kiln-AI/Kiln,0.05263157894736842,0.0,19,14
KittyCAD/modeling-app,0.0,0.0,5,3
LeagueAkari/LeagueAkari,0.0,0.0,2,1
MaiM-with-u/MaiBot,0.0,0.0,2,1
Mail-0/Zero,0.23076923076923078,0.0,13,1
MervinPraison/PraisonAI,0.0,0.0,6,2
MicrosoftDocs/azure-devops-docs,0.0,0.0,1,1
MicrosoftDocs/mcp,0.0,0.0,1,1
MikePopoloski/slang,0.0,0.0,8,6
NangoHQ/nango,0.0,0.0,27,7
NethermindEth/nethermind,0.0,0.0,12,5
NousResearch/atropos,0.0,0.0,1,1
OHIF/Viewers,0.0,0.0,9,4
ObservedObserver/streamlit-shadcn-ui,0.0,0.0,3,1
OneKeyHQ/app-monorepo,0.05357142857142857,0.10638297872340426,56,47
OpenAdaptAI/OpenAdapt,0.0,0.0,2,1
OpenHFT/Chronicle-Core,0.35454545454545455,0.5,110,22
OpenHFT/Chronicle-Wire,0.0,0.25,164,56
OpenHFT/Java-Runtime-Compiler,0.0,1.0,12,3
OpenHFT/Java-Thread-Affinity,0.0,0.0,34,12
OpenPipe/ART,0.0,0.0,10,3
PRQL/prql,0.0,0.0,6,1
PaloAltoNetworks/docusaurus-openapi-docs,0.0,0.0,29,2
PasteBar/PasteBarApp,0.5,0.0,2,1
PrefectHQ/marvin,0.0,0.0,1,1
PrefectHQ/prefect,0.0,0.0,5,2
PriorLabs/TabPFN,0.05263157894736842,0.0,19,5
PrunaAI/pruna,0.0,0.0,3,1
RAGEN-AI/RAGEN,0.0,0.0,3,1
RSSNext/Folo,0.0,0.0,1,1
Rangi42/polishedcrystal,0.0,0.0,2,1
ReactiveCircus/android-emulator-runner,0.0,0.0,2,1
RooCodeInc/Roo-Code,0.0,0.0,14,6
Scale3-Labs/langtrace,0.0,0.0,2,1
Shopify/roast,0.4,0.0,5,1
Significant-Gravitas/AutoGPT,1.0,0.9047619047619048,43,21
SimonHalvdansson/Harmonic-HN,0.0,0.0,10,4
SirVer/ultisnips,0.0,0.0,3,3
Skyvern-AI/skyvern,0.13043478260869565,0.06666666666666667,23,15
SparkDevNetwork/Rock,0.0,0.0,1,1
StephenDev0/StikDebug,0.0,0.0,25,7
Stirling-Tools/Stirling-PDF,0.0,0.0,10,4
Sylius/Sylius,0.0,0.5,2,2
TobikoData/sqlmesh,0.0,0.0,8,4
TracecatHQ/tracecat,0.0,0.0,2,1
Uberi/speech_recognition,0.0,0.0,2,1
VRSEN/agency-swarm,0.0,0.0,2,1
Veloera/Veloera,0.125,0.0,8,5
Wan-Video/Wan2.1,0.0,0.0,2,1
Z3Prover/z3,0.0,0.0,13,2
a16z/halmos,0.0,0.0,5,3
abi/screenshot-to-code,0.0,0.0,3,2
adaline/gateway,0.0,0.0,3,1
afadil/wealthfolio,0.0,0.0,7,3
ag2ai/ag2,0.0,0.0,3,2
aidenybai/bippy,0.0,0.0,2,1
aipotheosis-labs/aci,0.16666666666666666,0.0,12,5
airbytehq/airbyte,0.009174311926605505,0.012658227848101266,218,79
akto-api-security/akto,0.0,0.0,3,1
alexanderjeurissen/ranger_devicons,0.0,0.0,15,4
alexpfau/calendar-card-pro,0.0,0.0,3,1
allenai/open-instruct,0.0,0.0,4,1
allenai/reward-bench,0.0,0.0,2,2
analogdotnow/Analog,0.0,0.0,27,12
angular-eslint/angular-eslint,0.0,0.0,10,2
anthropics/claude-code-action,0.0,0.0,1,1
antiwork/gumroad,0.02702702702702703,0.05063291139240506,148,79
antiwork/shortest,0.0,0.0,53,45
anyproto/anytype-ts,0.0,0.0,5,2
apache/pinot,0.0,0.0,4,1
apache/pulsar,0.0,0.0,2,1
appsmithorg/appsmith,0.020833333333333332,0.07692307692307693,48,39
asgeirtj/system_prompts_leaks,0.0,0.0,1,1
assistant-ui/assistant-ui,0.0,0.0,13,8
astral-sh/ruff,0.0,0.0,2,1
azerothcore/azerothcore-wotlk,0.0,0.0,2,1
azu/promises-book,0.0,0.0,1,1
badtuxx/girus-cli,0.0,0.0,7,3
bambulab/BambuStudio,0.0,0.0,1,1
beeradmoore/dlss-swapper,0.0,0.0,1,1
ben-sb/obfuscator-io-deobfuscator,0.0,0.0,1,1
bentoml/BentoML,0.0,0.0,11,5
bespokelabsai/curator,0.0,0.0,11,9
better-auth/better-auth,0.0,0.0,4,3
beyond-all-reason/Beyond-All-Reason,0.0,0.0,1,1
bionic-gpt/bionic-gpt,0.0,0.0,129,42
bitcoin/bitcoin,0.0,0.0,3,2
block/goose,0.0,0.0,7,4
blokadaorg/blokada,0.0,0.0,2,1
blorm-network/ZerePy,0.0,0.0,5,4
bmadcode/BMAD-METHOD,0.0,0.0,2,1
box/box-ui-elements,0.0,0.0,88,46
bruin-data/bruin,0.0,0.0,45,20
bruin-data/ingestr,0.0,0.0,9,5
btwld/mix,0.0,0.0,3,2
bytebot-ai/bytebot,0.0,0.0,14,5
calcom/cal.com,0.07981220657276995,0.07258064516129033,213,124
cartography-cncf/cartography,0.05555555555555555,0.0,18,7
catatsuy/private-isu,0.0,0.0,6,2
celestiaorg/celestia-core,0.03636363636363636,0.0,55,16
clemlesne/scrape-it-now,0.0,0.0,2,1
cline/cline,0.0,0.0,2,1
cloudflare/workerd,0.0,0.0,1,1
cloudposse/atmos,0.09090909090909091,0.3333333333333333,11,3
clusterzx/paperless-ai,0.0,0.0,2,1
coder/coder,0.0,0.0,10,2
colinhacks/zod,0.0,0.0,13,1
comet-ml/opik,0.0,0.0,2,1
commaai/opendbc,0.0,0.0,16,8
commaai/openpilot,0.0,0.0,5,2
commaai/panda,0.0,0.0,11,4
continuedev/continue,0.0,0.0,1,1
cornerstonejs/cornerstone3D,0.0,0.0,7,3
coturn/coturn,0.0,0.0,6,1
crewAIInc/crewAI,0.006472491909385114,0.0,309,178
crewAIInc/crewAI-tools,0.0,0.05263157894736842,24,19
cvxpy/cvxpy,0.0,0.0,1,1
dagster-io/dagster,0.0,0.0,10,3
danny-avila/LibreChat,0.0,0.0,2,1
datopian/portaljs,0.0,0.0,3,2
davidmigloz/langchain_dart,0.0,0.0,5,1
dense-analysis/neural,0.0,0.0,2,2
devitocodes/devito,0.0,0.0,2,1
different-ai/note-companion,0.0,0.0,51,16
dkrivoruchko/ScreenStream,0.0,0.0,2,2
dlt-hub/dlt,0.0,0.0,2,2
doggy8088/github-copilot-configs,0.0,0.0,5,2
dotenvx/dotenvx,0.0,0.0,3,1
dotnet/SqlClient,0.0,0.0,3,3
dotnet/android,0.0,0.0,26,8
dotnet/arcade,0.0,0.0,1,1
dotnet/aspire,0.029585798816568046,0.0,169,78
dotnet/aspnetcore,0.019230769230769232,0.058823529411764705,52,17
dotnet/core,0.0,0.0,2,1
dotnet/diagnostics,0.0,0.0,4,2
dotnet/docfx,0.0,0.0,7,1
dotnet/docs,0.015151515151515152,0.0,66,3
dotnet/dotnet,0.0,0.0,6,1
dotnet/dotnet-api-docs,0.0,0.09090909090909091,20,11
dotnet/efcore,0.0,0.0,4,3
dotnet/fsharp,0.0,0.0,27,8
dotnet/machinelearning,0.0,0.0,2,1
dotnet/macios,0.0,0.0,7,3
dotnet/maui,0.0,0.0,80,19
dotnet/msbuild,0.0,0.0,25,12
dotnet/orleans,0.0,0.0,4,2
dotnet/roslyn,0.0,0.0,2,1
dotnet/runtime,0.0,0.0,49,27
dotnet/sdk,0.0,0.0,21,2
dotnet/wcf,0.0,0.0,1,1
dotnet/winforms,0.0,0.0,3,1
dropseed/plain,0.0,0.0,15,3
duplicati/duplicati,0.0,0.0,5,3
dust-tt/dust,0.0,0.0,9,6
dynamoose/dynamoose,0.0,0.0,6,4
effekseer/Effekseer,0.0,0.0,12,7
electricitymaps/electricitymaps-contrib,0.0,0.0,1,1
elie222/inbox-zero,0.2,0.25,5,4
elixir-lsp/elixir-ls,0.0,0.0,31,6
elixir-lsp/vscode-elixir-ls,0.0,0.0,24,1
elizaOS/eliza,0.19298245614035087,0.07894736842105263,57,38
elsa-workflows/elsa-core,0.03225806451612903,0.15789473684210525,31,19
estruyf/vscode-front-matter,0.0,0.0,3,1
etchdroid/etchdroid,0.0,0.0,4,2
ethereum-optimism/optimism,0.0,0.0,4,1
exo-lang/exo,0.0,0.0,1,1
eyaltoledano/claude-task-master,0.0,0.0,2,1
f/mcptools,0.0,0.0,3,2
facebook/idb,0.0,0.0,2,1
facebookresearch/fastMRI,0.0,0.0,1,1
facet-rs/facet,0.0,0.0,1,1
featureform/enrichmcp,0.0,0.0,87,29
fluent/fluent-bit,0.0,0.0,4,2
flyerhq/flutter_chat_ui,0.0,0.0,4,2
formancehq/ledger,0.0,0.0,4,3
formbricks/formbricks,0.8333333333333334,1.0,6,1
freenet/freenet-core,0.0,0.0,12,3
frenck/spook,1.0,1.0,2,1
fujiapple852/trippy,0.0,0.0,4,3
getsentry/sentry,0.0196078431372549,0.0,51,19
getsentry/sentry-cli,0.0,0.0,2,1
getsentry/sentry-dotnet,0.0,0.0,2,1
getsentry/sentry-javascript,0.0,0.0,16,5
getsentry/sentry-php,0.0,0.0,2,1
getsentry/sentry-python,0.0,0.0,4,3
