lang_bucket,stars_bin,created_year,n_ai_in_bucket,n_candidates_returned
TypeScript,1000+,2024,47,73
Python,1000+,2024,44,86
Python,1000+,2023,39,81
TypeScript,1000+,2023,35,83
TypeScript,200-499,2025,31,97
TypeScript,1000+,2025,26,88
Python,100-199,2024,25,98
TypeScript,1000+,2019,24,87
TypeScript,500-999,2025,24,95
Python,200-499,2024,24,98
Python,200-499,2025,23,99
TypeScript,200-499,2024,23,98
Python,100-199,2025,22,99
TypeScript,100-199,2023,22,98
TypeScript,100-199,2022,21,98
Python,100-199,2023,20,100
TypeScript,1000+,2015,20,88
TypeScript,1000+,2020,20,90
TypeScript,1000+,2021,20,91
TypeScript,200-499,2023,19,95
TypeScript,100-199,2024,19,100
TypeScript,1000+,2022,18,92
Python,1000+,2025,18,91
Python,500-999,2023,18,98
Python,1000+,2022,17,90
TypeScript,1000+,2017,16,92
TypeScript,100-199,2025,16,99
TypeScript,1000+,2018,16,98
Python,200-499,2020,14,99
TypeScript,500-999,2023,14,95
Python,1000+,2019,14,94
TypeScript,200-499,2020,14,97
Rust,1000+,2022,13,89
TypeScript,500-999,2020,13,94
Python,200-499,2022,13,99
C#,1000+,2016,13,92
Python,1000+,2018,13,95
Python,1000+,2020,13,95
Go,200-499,2021,12,97
Go,1000+,2019,12,94
TypeScript,500-999,2024,12,95
Python,500-999,2024,12,98
TypeScript,100-199,2020,12,98
Rust,1000+,2024,12,87
Python,200-499,2023,12,100
TypeScript,1000+,2016,12,95
C#,1000+,2015,11,91
Go,1000+,2021,11,92
JavaScript,100-199,2025,11,97
Go,1000+,2016,11,92
Go,1000+,2020,11,91
TypeScript,500-999,2022,10,100
Python,100-199,2022,10,100
TypeScript,100-199,2021,10,99
Python,500-999,2025,10,99
TypeScript,100-199,2019,10,98
Go,1000+,2018,10,97
Rust,1000+,2023,10,91
Rust,200-499,2024,9,97
Python,200-499,2019,9,98
Python,100-199,2020,9,100
Rust,100-199,2023,9,98
C#,1000+,2019,9,94
Go,100-199,2018,9,100
C#,200-499,2021,9,98
Python,100-199,2021,9,100
Go,200-499,2020,9,100
C++,1000+,2014,8,95
C#,1000+,2014,8,93
Go,500-999,2020,8,98
TypeScript,200-499,2022,8,100
Rust,100-199,2022,8,98
Go,200-499,2025,8,98
Rust,200-499,2023,8,98
C#,1000+,2018,8,94
TypeScript,200-499,2019,8,98
TypeScript,1000+,2014,8,93
JavaScript,1000+,2015,8,98
JavaScript,1000+,2025,8,95
Python,1000+,2016,8,95
Go,100-199,2023,8,99
Go,100-199,2021,7,100
JavaScript,200-499,2019,7,99
JavaScript,100-199,2021,7,100
C#,100-199,2020,7,98
JavaScript,100-199,2019,7,100
Python,1000+,2021,7,98
Go,100-199,2025,7,99
Java,1000+,2016,7,96
JavaScript,200-499,2025,7,99
JavaScript,200-499,2018,7,100
C#,200-499,2020,7,97
C++,1000+,2015,7,96
Go,1000+,2024,7,94
Rust,200-499,2025,7,97
Go,200-499,2022,7,97
Go,1000+,2025,7,91
C++,1000+,2022,7,94
Rust,1000+,2021,7,95
C++,1000+,2016,6,94
JavaScript,1000+,2016,6,99
Python,1000+,2017,6,98
C++,1000+,2013,6,97
Rust,500-999,2024,6,95
TypeScript,200-499,2018,6,99
Rust,1000+,2018,6,94
C#,1000+,2020,6,95
C#,100-199,2022,6,100
C#,1000+,2013,6,82
TypeScript,200-499,2021,6,100
JavaScript,200-499,2016,6,99
Go,1000+,2022,6,94
Rust,200-499,2022,6,98
C#,100-199,2019,6,100
JavaScript,200-499,2017,6,100
C#,1000+,2023,6,55
C#,500-999,2016,6,99
JavaScript,200-499,2021,6,100
Rust,500-999,2023,5,99
TypeScript,200-499,2017,5,100
C++,1000+,2018,5,97
PHP,200-499,2024,5,73
Python,100-199,2016,5,100
C#,500-999,2018,5,95
Java,1000+,2019,5,98
JavaScript,500-999,2025,5,98
TypeScript,100-199,2018,5,99
C#,200-499,2023,5,97
C#,200-499,2018,5,99
C#,100-199,2023,5,98
C,200-499,2018,5,98
Go,500-999,2017,5,97
Go,1000+,2014,5,97
Python,100-199,2017,5,99
C++,100-199,2019,5,100
Go,200-499,2023,5,98
JavaScript,1000+,2013,5,97
Rust,1000+,2019,5,95
Go,100-199,2020,5,99
JavaScript,1000+,2014,5,98
C#,1000+,2021,5,96
Python,500-999,2021,5,97
Go,500-999,2022,5,97
C#,1000+,2017,5,98
TypeScript,200-499,2016,5,100
JavaScript,1000+,2020,4,98
C#,500-999,2020,4,96
Python,1000+,2015,4,100
Java,1000+,2023,4,69
C#,200-499,2024,4,96
JavaScript,1000+,2017,4,99
Java,1000+,2021,4,91
C#,500-999,2024,4,54
Python,100-199,2015,4,99
C#,200-499,2019,4,99
JavaScript,200-499,2020,4,100
Java,200-499,2014,4,98
Python,500-999,2016,4,100
Python,1000+,2011,4,97
Dart,200-499,2021,4,98
JavaScript,200-499,2023,4,98
Python,1000+,2014,4,97
Python,1000+,2013,4,98
Python,500-999,2020,4,100
Go,1000+,2023,4,98
Python,200-499,2017,4,100
Python,200-499,2014,4,99
Go,200-499,2019,4,100
JavaScript,1000+,2024,4,97
Python,100-199,2019,4,99
Python,100-199,2018,4,100
PHP,100-199,2014,4,100
PHP,100-199,2018,4,98
C++,100-199,2020,4,100
C#,500-999,2019,4,97
Go,200-499,2018,4,99
Go,100-199,2019,4,99
C++,1000+,2020,4,97
C++,1000+,2019,4,97
Go,200-499,2016,4,98
C#,1000+,2012,4,37
Python,200-499,2021,4,100
Python,200-499,2018,4,97
Rust,100-199,2024,4,99
Go,500-999,2024,4,96
Go,1000+,2015,4,99
Go,500-999,2019,4,98
Go,500-999,2021,4,97
C#,100-199,2024,4,99
C,1000+,2013,4,97
C,1000+,2015,4,96
TypeScript,500-999,2021,4,99
JavaScript,1000+,2019,4,99
TypeScript,200-499,2015,4,98
Unknown,200-499,2025,4,99
TypeScript,100-199,2017,3,97
Unknown,500-999,2020,3,99
TypeScript,1000+,2012,3,59
TypeScript,500-999,2019,3,99
TypeScript,500-999,2014,3,55
C,1000+,2019,3,97
C,1000+,2021,3,97
C#,1000+,2022,3,77
TypeScript,500-999,2018,3,98
C#,1000+,2011,3,42
TypeScript,500-999,2017,3,100
Kotlin,200-499,2021,3,98
Kotlin,200-499,2022,3,98
Jupyter Notebook,200-499,2024,3,98
Jupyter Notebook,100-199,2024,3,100
Vue,500-999,2023,3,42
Python,500-999,2022,3,99
HTML,1000+,2014,3,96
HTML,100-199,2025,3,99
Go,500-999,2025,3,96
Ruby,100-199,2012,3,99
Rust,1000+,2017,3,97
Java,100-199,2023,3,98
Python,200-499,2011,3,98
Swift,200-499,2024,3,97
Swift,1000+,2017,3,98
PHP,1000+,2011,3,98
PowerShell,100-199,2023,3,58
PHP,200-499,2025,3,46
PHP,500-999,2014,3,98
PHP,1000+,2018,3,84
PHP,200-499,2015,3,98
PHP,1000+,2012,3,99
JavaScript,1000+,2023,3,99
Rust,500-999,2025,3,98
C++,1000+,2012,3,97
C++,1000+,2021,3,98
C++,1000+,2023,3,97
Go,100-199,2017,3,99
Dart,200-499,2022,3,97
C++,100-199,2018,3,100
C++,100-199,2024,3,100
C#,500-999,2023,3,81
C#,100-199,2021,3,98
C,200-499,2022,3,98
JavaScript,100-199,2024,3,100
JavaScript,100-199,2022,3,100
JavaScript,200-499,2024,3,99
Java,1000+,2020,3,98
Rust,200-499,2021,3,99
Shell,100-199,2017,3,100
C#,500-999,2011,3,28
C#,500-999,2015,3,98
C#,200-499,2017,3,99
