covariate,type,pre_match_smd,post_match_smd,pre_match_n_ai,pre_match_n_control_pool,post_match_n_pairs,ai_pre_mean,ctrl_pre_mean,ai_post_mean,ctrl_post_mean,abs_post_smd_gt_0p1
log_stars,continuous,-0.12175320410672794,-0.05693381214328209,2706,2657,1744,6.752953184735991,6.947448541527535,6.473881570185622,6.55425395428018,False
repo_age_years,continuous,0.005236563729208908,0.0025435075550538605,2706,2657,1744,5.679042136697268,5.658975799593856,5.714935415607006,5.704954191235109,False
activity,continuous,0.03780573027981609,0.04450148008071235,2706,2657,1744,11.929785661492978,6.953707188558525,12.01834862385321,5.2672018348623855,False
owner_org,binary,0.0037410045727477516,0.0,2706,2657,1744,0.6371027346637103,0.6353029732781332,0.5980504587155964,0.5980504587155964,False
lang_1C Enterprise,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_AL,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_ActionScript,binary,-0.00035296245741360397,0.0,2706,2657,1744,0.0003695491500369549,0.0003763643206624012,0.0005733944954128441,0.0005733944954128441,False
lang_AngelScript,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Apex,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_AppleScript,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Assembly,binary,0.015364190576590856,0.0,2706,2657,1744,0.0007390983000739098,0.0003763643206624012,0.0,0.0,False
lang_Astro,binary,-0.0006115771479653591,0.0,2706,2657,1744,0.0011086474501108647,0.0011290929619872036,0.0017201834862385322,0.0017201834862385322,False
lang_Bicep,binary,0.02393250227185445,0.0,2706,2657,1744,0.0025868440502586844,0.0015054572826496049,0.0022935779816513763,0.0022935779816513763,False
lang_C,binary,-0.0027171315842649136,0.0,2706,2657,1744,0.021433850702143386,0.02182913059841927,0.02694954128440367,0.02694954128440367,False
lang_C#,binary,-0.005422568599584713,0.0,2706,2657,1744,0.08019216555801921,0.08167105758374106,0.08944954128440367,0.08944954128440367,False
lang_C++,binary,-0.0037795581882632333,0.0,2706,2657,1744,0.04065040650406504,0.041400075272864136,0.0389908256880734,0.0389908256880734,False
lang_CMake,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_CSS,binary,-0.0007063203463493152,0.0,2706,2657,1744,0.0014781966001478197,0.0015054572826496049,0.0022935779816513763,0.0022935779816513763,False
lang_Circom,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Clojure,binary,0.02688621147765673,0.0,2706,2657,1744,0.0011086474501108647,0.0003763643206624012,0.0005733944954128441,0.0005733944954128441,False
lang_CodeQL,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_CoffeeScript,binary,-0.0004992574461998932,0.0,2706,2657,1744,0.0007390983000739098,0.0007527286413248024,0.0011467889908256881,0.0011467889908256881,False
lang_ColdFusion,binary,0.027191387132618552,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Common Lisp,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Dart,binary,-0.002008305935625011,0.0,2706,2657,1744,0.011825572801182557,0.012043658261196839,0.017775229357798166,0.017775229357798166,False
lang_Dockerfile,binary,-0.0006115771479653591,0.0,2706,2657,1744,0.0011086474501108647,0.0011290929619872036,0.0011467889908256881,0.0011467889908256881,False
lang_Elixir,binary,-0.0008653855427485257,0.0,2706,2657,1744,0.0022172949002217295,0.002258185923974407,0.0028669724770642203,0.0028669724770642203,False
lang_Emacs Lisp,binary,-0.0006115771479653591,0.0,2706,2657,1744,0.0011086474501108647,0.0011290929619872036,0.0017201834862385322,0.0017201834862385322,False
lang_Erlang,binary,0.011672354203324554,0.0,2706,2657,1744,0.0011086474501108647,0.0007527286413248024,0.0005733944954128441,0.0005733944954128441,False
lang_F#,binary,0.04711428474315455,0.0,2706,2657,1744,0.0011086474501108647,0.0,0.0,0.0,False
lang_Fortran,binary,-0.00035296245741360397,0.0,2706,2657,1744,0.0003695491500369549,0.0003763643206624012,0.0005733944954128441,0.0005733944954128441,False
lang_GAP,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Gherkin,binary,-0.00035296245741360397,0.0,2706,2657,1744,0.0003695491500369549,0.0003763643206624012,0.0005733944954128441,0.0005733944954128441,False
lang_Go,binary,-0.005690089194184314,0.0,2706,2657,1744,0.08758314855875832,0.08919834399698909,0.09690366972477064,0.09690366972477064,False
lang_HCL,binary,0.008366532735298686,0.0,2706,2657,1744,0.0018477457501847746,0.0015054572826496049,0.0022935779816513763,0.0022935779816513763,False
lang_HTML,binary,-0.002131740162723743,0.0,2706,2657,1744,0.013303769401330377,0.013549115543846444,0.01834862385321101,0.01834862385321101,False
lang_Handlebars,binary,-0.0004992574461998932,0.0,2706,2657,1744,0.0007390983000739098,0.0007527286413248024,0.0011467889908256881,0.0011467889908256881,False
