repo_full_name,stars,language,created_at,owner_type,fork,archived,license,n_in_window_prs,matched_ai_repo,lang_bucket,stars_bin,created_year,owner_type_norm,log_stars,strata_key,default_branch,size_kb,open_issues,pushed_at
AdamAtomic/flixel,1141,ActionScript,2009-10-18 23:14:40+00:00,User,False,False,NOASSERTION,0,robertpenner/as3-signals,ActionScript,1000+,2009,User,7.040536390215956,ActionScript|1000+|2009|User,master,10081,75,2015-11-05 01:35:36+00:00
michael-andreuzza/microstudio,134,Astro,2024-02-22 11:49:43+00:00,User,False,False,GPL-3.0,1,midudev/jsconf.es,Astro,100-199,2024,User,4.90527477843843,Astro|100-199|2024|User,main,56393,0,2026-03-18 05:48:16+00:00
midudev/astro-5-dev-books,120,Astro,2024-09-18 17:34:39+00:00,User,False,False,,0,midudev/landing-infojobs,Astro,100-199,2024,User,4.795790545596741,Astro|100-199|2024|User,main,477,2,2024-09-18 17:47:44+00:00
moeyua/astro-theme-typography,597,Astro,2023-11-28 08:43:13+00:00,User,False,False,MIT,24,igorm84/spotify-astro-transitions,Astro,500-999,2023,User,6.393590753950631,Astro|500-999|2023|User,main,7179,12,2026-02-17 14:32:32+00:00
Azure-Samples/azure-openai-rag-workshop,147,Bicep,2023-10-23 08:34:28+00:00,Organization,False,False,MIT,0,Azure/intelligent-app-workshop,Bicep,100-199,2023,Organization,4.997212273764115,Bicep|100-199|2023|Organization,main,23577,0,2026-01-20 13:15:16+00:00
MicrosoftLearning/AZ-104-MicrosoftAzureAdministrator,4357,Bicep,2020-01-29 14:53:07+00:00,Organization,False,False,MIT,13,Azure/bicep,Bicep,1000+,2020,Organization,8.379768515504566,Bicep|1000+|2020|Organization,master,19162,1,2026-04-21 23:57:25+00:00
MicrosoftLearning/AZ-700-Designing-and-Implementing-Microsoft-Azure-Networking-Solutions,394,Bicep,2021-06-08 23:20:30+00:00,Organization,False,False,MIT,10,Azure/missionlz,Bicep,200-499,2021,Organization,5.978885764901122,Bicep|200-499|2021|Organization,master,43564,0,2026-04-01 13:44:23+00:00
Azure/azure-monitor-baseline-alerts,307,Bicep,2023-08-04 15:58:34+00:00,Organization,False,False,MIT,21,Azure-Samples/openai-chat-app-quickstart,Bicep,200-499,2023,Organization,5.730099782973574,Bicep|200-499|2023|Organization,main,76369,75,2026-04-20 08:19:31+00:00
ngenerics/ngenerics,138,C#,2013-01-31 18:49:49+00:00,Organization,False,False,NOASSERTION,0,Particular/docs.particular.net,C#,100-199,2013,Organization,4.9344739331306915,C#|100-199|2013|Organization,master,12821,21,2018-10-22 18:50:37+00:00
DevExpress/DevExtreme.AspNet.Data,164,C#,2015-11-19 08:32:31+00:00,Organization,False,False,MIT,15,Excel-DNA/Samples,C#,100-199,2015,Organization,5.10594547390058,C#|100-199|2015|Organization,master,2111,20,2026-04-24 09:59:03+00:00
rotorz/unity3d-reorderable-list,171,C#,2017-05-10 06:53:13+00:00,Organization,False,False,MIT,0,Open-Systems-Pharmacology/PK-Sim,C#,100-199,2017,Organization,5.147494476813453,C#|100-199|2017|Organization,master,3004,6,2018-07-13 01:18:41+00:00
KhronosGroup/glTF-Asset-Generator,176,C#,2017-08-07 22:11:18+00:00,Organization,False,False,MIT,0,Azure/autorest.csharp,C#,100-199,2017,Organization,5.176149732573829,C#|100-199|2017|Organization,main,289008,30,2024-02-01 16:44:56+00:00
SoftUni/csharp-web,172,C#,2019-05-16 07:11:46+00:00,Organization,False,False,MIT,0,Azure/azure-functions-kafka-extension,C#,100-199,2019,Organization,5.153291594497779,C#|100-199|2019|Organization,master,12729,6,2022-12-08 05:38:14+00:00
AppsFlyerSDK/appsflyer-unity-plugin,175,C#,2019-09-15 08:58:24+00:00,Organization,False,False,MIT,19,Azure/azure-sdk-tools,C#,100-199,2019,Organization,5.170483995038151,C#|100-199|2019|Organization,master,163508,0,2026-03-26 16:16:08+00:00
Unity-Technologies/2d-renderer-samples,175,C#,2019-05-09 06:03:25+00:00,Organization,False,False,NOASSERTION,0,osstotalsoft/nbb,C#,100-199,2019,Organization,5.170483995038151,C#|100-199|2019|Organization,master,1155,3,2022-02-21 11:47:32+00:00
CanerPatir/aspnet-core-clean-arch,174,C#,2019-05-01 16:18:02+00:00,User,False,False,Apache-2.0,0,thiennn/myshop,C#,100-199,2019,User,5.1647859739235145,C#|100-199|2019|User,master,216,1,2023-03-04 01:15:23+00:00
KaustubhPatange/Kling,174,C#,2019-07-04 13:36:50+00:00,User,False,False,GPL-3.0,0,christianhelle/apiclientcodegen,C#,100-199,2019,User,5.1647859739235145,C#|100-199|2019|User,master,1751,10,2021-09-15 07:02:00+00:00
kurrent-io/KurrentDB-Client-Dotnet,174,C#,2020-03-19 15:25:35+00:00,Organization,False,False,Apache-2.0,31,EvotecIT/Mailozaurr,C#,100-199,2020,Organization,5.1647859739235145,C#|100-199|2020|Organization,master,5699,40,2026-04-23 21:47:24+00:00
vb-consulting/Norm.net,174,C#,2020-11-30 09:06:42+00:00,Organization,False,False,MIT,0,dotnet/xharness,C#,100-199,2020,Organization,5.1647859739235145,C#|100-199|2020|Organization,master,1960,4,2024-05-09 15:45:14+00:00
Unity-Technologies/TheHeretic-VFXCharacter,175,C#,2020-05-20 09:50:45+00:00,Organization,False,False,NOASSERTION,0,PepperDash/Essentials,C#,100-199,2020,Organization,5.170483995038151,C#|100-199|2020|Organization,master,66922,3,2021-03-18 21:41:33+00:00
Acshy/FurShaderUnity,174,C#,2020-11-20 07:13:09+00:00,User,False,False,,0,jlucansky/Swiddler,C#,100-199,2020,User,5.1647859739235145,C#|100-199|2020|User,main,5303,1,2020-11-20 11:21:13+00:00
chrisloop/URP2020ToonShader,174,C#,2020-10-11 18:15:16+00:00,User,False,False,,0,aevien/master-server-toolkit,C#,100-199,2020,User,5.1647859739235145,C#|100-199|2020|User,main,3192,1,2020-10-11 18:17:06+00:00
davidnx/NextjsStaticHosting-AspNetCore,175,C#,2020-11-17 16:03:10+00:00,User,False,False,MIT,0,thomasloupe/Slackord,C#,100-199,2020,User,5.170483995038151,C#|100-199|2020|User,master,187,1,2025-09-01 17:00:33+00:00
RowTeam/SharpNTLMSSPExtract,174,C#,2021-05-09 12:02:52+00:00,Organization,False,False,,0,Aiko-IT-Systems/DisCatSharp,C#,100-199,2021,Organization,5.1647859739235145,C#|100-199|2021|Organization,main,817,0,2022-08-24 11:04:04+00:00
Elfocrash/DotnetDocsShow.MinimalApis,173,C#,2021-11-01 17:18:53+00:00,User,False,False,,0,jihadkhawaja/Egroo,C#,100-199,2021,User,5.159055299214529,C#|100-199|2021|User,main,21,2,2021-11-01 17:20:54+00:00
Moneylover3246/Crossplay,173,C#,2021-06-01 18:14:45+00:00,User,False,False,MIT,0,isaacOjeda/MinimalApiArchitecture,C#,100-199,2021,User,5.159055299214529,C#|100-199|2021|User,main,25167,14,2023-06-09 09:37:28+00:00
AvionBlock/VoiceCraft,185,C#,2022-12-02 02:15:05+00:00,Organization,False,False,GPL-3.0,17,ESPresense/ESPresense-companion,C#,100-199,2022,Organization,5.225746673713202,C#|100-199|2022|Organization,master,98355,3,2026-04-17 04:59:50+00:00
Editise/Editise,184,C#,2022-09-18 15:11:59+00:00,Organization,False,False,MIT,0,MicrosoftLearning/eShopOnWeb,C#,100-199,2022,Organization,5.220355825078324,C#|100-199|2022|Organization,master,254,0,2025-02-14 11:10:29+00:00
the-hideout/TarkovMonitor,184,C#,2022-07-23 19:43:07+00:00,Organization,False,False,GPL-3.0,9,AzureCosmosDB/data-migration-desktop-tool,C#,100-199,2022,Organization,5.220355825078324,C#|100-199|2022|Organization,master,897,15,2026-04-24 12:19:30+00:00
luotengyuan/MyMapTools,166,C#,2022-09-03 14:40:09+00:00,User,False,False,,0,jodendaal/OpenAI.Net,C#,100-199,2022,User,5.117993812416755,C#|100-199|2022|User,main,41802,5,2024-04-18 03:05:31+00:00
YohoYang/VSGUI,167,C#,2022-05-14 05:25:13+00:00,User,False,False,GPL-3.0,1,kevingosse/Silhouette,C#,100-199,2022,User,5.123963979403259,C#|100-199|2022|User,master,1178,8,2026-04-12 07:15:02+00:00
plackyhacker/SandboxDefender,167,C#,2022-02-05 08:36:53+00:00,User,False,False,,0,pkuehnel/TeslaSolarCharger,C#,100-199,2022,User,5.123963979403259,C#|100-199|2022|User,main,245,0,2022-04-22 08:55:13+00:00
kurotu/OVR-Lighthouse-Manager,161,C#,2023-11-30 14:54:41+00:00,User,False,False,GPL-3.0,2,mackysoft/Navigathena,C#,100-199,2023,User,5.087596335232384,C#|100-199|2023|User,master,448,7,2025-07-12 06:11:40+00:00
SethRobinson/GPTAvatar,162,C#,2023-04-06 10:00:36+00:00,User,False,False,NOASSERTION,0,rm-NoobInCoding/UnrealReZen,C#,100-199,2023,User,5.093750200806762,C#|100-199|2023|User,master,484448,2,2024-07-06 04:11:24+00:00
FutureAIGuru/BrainSimIII,162,C#,2023-11-09 18:52:08+00:00,User,False,False,MIT,2,yurkinh/Plugin.Maui.Calendar,C#,100-199,2023,User,5.093750200806762,C#|100-199|2023|User,main,172487,1,2026-02-09 17:24:11+00:00
babalae/better-wuthering-waves,152,C#,2024-05-23 10:08:42+00:00,Organization,False,False,GPL-3.0,0,FritzAndFriends/SharpSite,C#,100-199,2024,Organization,5.030437921392435,C#|100-199|2024|Organization,main,22551,6,2024-06-08 05:35:06+00:00
thisisnabi/Notify,168,C#,2024-04-17 16:44:23+00:00,User,False,False,MIT,1,wieslawsoltes/Xaml.Behaviors,C#,100-199,2024,User,5.1298987149230735,C#|100-199|2024|User,main,71,2,2024-09-22 16:50:16+00:00
toonymak1993/GameConsoleMode,168,C#,2024-05-29 11:35:57+00:00,User,False,False,MIT,20,jscarle/LightResults,C#,100-199,2024,User,5.1298987149230735,C#|100-199|2024|User,main,526183,5,2026-04-23 17:00:15+00:00
